dataset,m1auc,wassauc
isolet 1-16,0.9890444444444444,0.9886333333333333
isolet 1-17,0.9997777777777778,0.9995444444444445
isolet 1-18,1.0,1.0
isolet 1-19,1.0,1.0
isolet 1-20,0.9838333333333333,0.9789111111111112
isolet 1-21,1.0,1.0
isolet 1-22,0.9775555555555556,0.8539
isolet 1-23,0.9997999999999999,0.9999777777777779
isolet 1-24,0.9978111111111112,0.9987
isolet 1-25,1.0,1.0
isolet 1-26,0.9988333333333334,0.9988666666666667
letter-recognition U-T,0.9080679470974504,0.9505533803989271
letter-recognition U-I,0.8638296835005892,0.9229139072847683
letter-recognition U-D,0.6250321990626071,0.7759676866211942
letter-recognition U-N,0.7036707958222662,0.878604392418651
letter-recognition U-G,0.8554544083683204,0.8661116358066334
letter-recognition U-S,0.6850349397985631,0.9000951412355238
letter-recognition U-B,0.5941613673132679,0.8694324752919316
letter-recognition U-A,0.913213122147317,0.9112365578856517
letter-recognition U-J,0.864759652105354,0.9094997577220949
letter-recognition U-M,0.8472346160996468,0.8821295779884737
letter-recognition U-X,0.7517013431451266,0.8439831307832024
letter-recognition U-O,0.6897546827006901,0.8000733263265953
letter-recognition U-R,0.6760671447302393,0.8397866519902228
letter-recognition U-F,0.743327132396596,0.8849428062537108
letter-recognition U-C,0.867317951453721,0.9135902907441984
letter-recognition U-H,0.7383176476488189,0.6880593771418063
letter-recognition U-W,0.918163425140321,0.9450365487534265
letter-recognition U-L,0.8885902469304998,0.8478414743274509
letter-recognition U-P,0.8557097999067913,0.7651368717004484
letter-recognition U-E,0.7102840618609407,0.8813794095092025
letter-recognition U-V,0.804483988051264,0.9140590370346576
letter-recognition U-Y,0.9228867138107057,0.9470394480088669
letter-recognition U-Q,0.8567504250601352,0.9200432503584608
letter-recognition U-K,0.8344620902064637,0.8785425504536889
letter-recognition U-Z,0.7775998395212383,0.839507865130974
libras 1-2,0.5566666666666666,0.5483333333333332
libras 1-3,0.5983333333333333,0.7083333333333334
libras 1-4,0.03333333333333333,0.29833333333333334
libras 1-5,0.8300000000000001,0.8133333333333332
libras 1-6,0.29833333333333334,0.30333333333333334
libras 1-7,0.9199999999999999,0.7133333333333334
libras 1-8,0.8850000000000001,0.8516666666666668
libras 1-9,0.3916666666666667,0.5266666666666667
libras 1-10,0.6283333333333333,0.6633333333333333
libras 1-11,1.0,1.0
libras 1-12,0.6200000000000001,0.865
libras 1-13,1.0,1.0
libras 1-14,0.4533333333333333,0.4333333333333334
libras 1-15,0.9933333333333334,0.9983333333333334
madelon ,0.42209349112426037,0.38928875739644975
magic-telescope ,0.5834559486659309,0.6045107257909671
multiple-features 0-1,1.0,1.0
multiple-features 0-2,1.0,1.0
multiple-features 0-3,1.0,1.0
multiple-features 0-4,1.0,1.0
multiple-features 0-5,1.0,1.0
multiple-features 0-6,1.0,1.0
multiple-features 0-7,1.0,1.0
multiple-features 0-8,0.996725,0.9967
multiple-features 0-9,1.0,1.0
musk-2 ,0.5778494334012036,0.6339874769914144
page-blocks 1-2,0.8705921640533445,0.934337228322207
page-blocks 1-4,0.8939817811893092,0.9120526218440765
page-blocks 1-5,0.4080392763943562,0.7254120040691759
page-blocks 1-3,0.5776703967446593,0.8143874436855109
pendigits 4-8,1.0,1.0
pendigits 4-9,0.9949891347089137,0.9946323392454314
pendigits 4-1,0.9997050587017233,0.999710407378117
pendigits 4-7,1.0,1.0
pendigits 4-0,0.9957034846626704,0.9984213763672555
pendigits 4-2,1.0,1.0
pendigits 4-5,0.9993120718557916,0.999480949522962
pendigits 4-3,0.99972184854819,0.999668867319274
pendigits 4-6,1.0,1.0
pima-indians ,0.5245,0.6005895522388058
sonar ,0.589720603615718,0.514268638876438
statlog-satimage 1-3,0.9919008121734875,0.9964860184310131
statlog-satimage 1-4,0.9948174126609153,0.9963440904975492
statlog-satimage 1-5,0.9559196310510529,0.950374339434874
statlog-satimage 1-7,0.9994332074754404,0.999336438020028
statlog-satimage 1-2,0.9956612192511386,0.9908034899291543
statlog-segment 6-3,0.8397061524334252,0.9226262626262626
statlog-segment 6-2,1.0,1.0
statlog-segment 6-7,0.7504407713498622,0.9673553719008264
statlog-segment 6-1,0.8966758494031222,0.9581542699724519
statlog-segment 6-4,0.812791551882461,0.8879614325068872
statlog-segment 6-5,0.890752984389348,0.9446372819100091
statlog-vehicle bus-van,0.3272498857925994,0.2385792599360439
statlog-vehicle bus-saab,0.47232928361960613,0.6436321742773355
statlog-vehicle bus-opel,0.3908233276157804,0.5821612349914237
synthetic-control-chart 2-1,0.7619047619047619,0.9523809523809523
synthetic-control-chart 2-3,0.8021475256769375,1.0
synthetic-control-chart 2-4,0.2156862745098039,0.9047619047619048
synthetic-control-chart 2-5,0.7591036414565826,0.9528478057889822
synthetic-control-chart 2-6,0.817391304347826,1.0
vertebral-column ,0.5783739837398374,0.539465737514518
wall-following-robot Move-Forward-Slight-Right-Turn,0.400824672080293,0.47639197729132016
wall-following-robot Move-Forward-Sharp-Right-Turn,0.5034515348024442,0.5632880142996635
wall-following-robot Move-Forward-Slight-Left-Turn,0.7811376583153585,0.6908329185332669
waveform-1 2-1,0.9596685595914138,0.9259477124183005
waveform-1 2-0,0.7800315950157976,0.9355798927899464
waveform-2 0-2,0.5749267884037822,0.8419356736090687
waveform-2 0-1,0.41353041845790345,0.8945833712549097
yeast CYT-MIT,0.3328221399612198,0.8049621011810328
yeast CYT-NUC,0.6315011153720831,0.5685089104443943
yeast CYT-ME1,0.9127077223851418,0.9520039100684261
yeast CYT-EXC,0.7269431643625192,0.8482949308755761
yeast CYT-ME2,0.7493991144845035,0.7874341134303184
yeast CYT-ME3,0.8852298964311631,0.8965762913120917
yeast CYT-VAC,0.654121863799283,0.6182795698924731
yeast CYT-POX,0.7391397849462364,0.7670967741935484
yeast CYT-ERL,1.0,0.9978494623655914
wine 2-1,0.9717514124293786,0.7536723163841809
wine 2-3,0.7229166666666667,0.6041666666666667
