dataset,m1auc,wassauc,pval
musk-2 ,0.6208342099556714,0.6061919760373266,0.031250000000000014
page-blocks 1-2,0.8832242344785364,0.880612973745157,0.031250000000000014
page-blocks 1-5,0.7705923403167863,0.7315710066296117,0.031250000000000014
page-blocks 1-3,0.9604444385726176,0.95556274854342,0.031250000000000014
pendigits 4-7,0.9939324153263038,0.992646777659664,0.031250000000000014
pendigits 4-2,0.9650402326930713,0.9723938070662962,0.031250000000000014
pendigits 4-5,0.8894814575105973,0.8826819489415985,0.031250000000000014
pendigits 4-3,0.9045405741012853,0.8846107742295992,0.031250000000000014
pendigits 4-6,0.9994344400992176,0.9992456268529389,0.031250000000000014
pima-indians ,0.6294175373134329,0.6385764925373134,0.031250000000000014
sonar ,0.5608573407766594,0.6063730084348641,0.031250000000000014
statlog-satimage 1-3,0.9850875475308801,0.9909059508945334,0.031250000000000014
statlog-satimage 1-4,0.992660839488326,0.9945099389688372,0.031250000000000014
statlog-satimage 1-5,0.9432750627319595,0.9476393893461007,0.031250000000000014
statlog-satimage 1-7,0.999056458536409,0.9996384891083306,0.031250000000000014
statlog-satimage 1-2,0.996349247335018,0.9939756473272674,0.031250000000000014
statlog-segment 6-3,0.6692086150763836,0.741505968778696,0.031250000000000014
statlog-segment 6-2,0.9614800037997528,0.9560194420695988,0.031250000000000014
statlog-segment 6-7,0.9853493613824191,0.9982385841889976,0.031250000000000014
statlog-segment 6-5,0.5949703648050755,0.7641288922280658,0.031250000000000014
statlog-vehicle bus-van,0.563135927571743,0.8527658955936708,0.031250000000000014
statlog-vehicle bus-saab,0.5780826700181538,0.6461807010194107,0.031250000000000014
synthetic-control-chart 2-4,0.9716526610644247,0.9664705882352932,0.031250000000000014
yeast CYT-MIT,0.7928585164174797,0.7832926702241878,0.031250000000000014
yeast CYT-NUC,0.5892940989715184,0.5870900903158968,0.031250000000000014
yeast CYT-ME1,0.7222792440534377,0.6608097100032584,0.031250000000000014
yeast CYT-EXC,0.6838453661034305,0.6524193548387097,0.031250000000000014
yeast CYT-ME2,0.6176566423245741,0.5306576198416806,0.031250000000000014
yeast CYT-ME3,0.8341699200594906,0.8030932719236697,0.031250000000000014
wine 2-3,0.9099747474747474,0.8733585858585861,0.031250000000000014
